"sample_size";"model";"intercept";"n_noise_variables";"b_X1";"b_X2";"b_X3";"b_X1X2";"b_X1X3";"b_X2X3";"trouble_LogReg";"trouble_ElasticNetRoc";"trouble_ElasticNetLogloss";"trouble_GBMRoc";"trouble_GBMLogloss";"trouble_UpsamplingLogReg";"trouble_UpsamplingElasticNetRoc";"trouble_UpsamplingElasticNetLogloss";"trouble_UpsamplingGBMRoc";"trouble_UpsamplingGBMLogloss";"auc_LogReg";"auc_ElasticNetRoc";"auc_ElasticNetLogloss";"auc_GBMRoc";"auc_GBMLogloss";"auc_UpsamplingLogReg";"auc_UpsamplingElasticNetRoc";"auc_UpsamplingElasticNetLogloss";"auc_UpsamplingGBMRoc";"auc_UpsamplingGBMLogloss";"misclassification_LogReg";"misclassification_ElasticNetRoc";"misclassification_ElasticNetLogloss";"misclassification_GBMRoc";"misclassification_GBMLogloss";"misclassification_UpsamplingLogReg";"misclassification_UpsamplingElasticNetRoc";"misclassification_UpsamplingElasticNetLogloss";"misclassification_UpsamplingGBMRoc";"misclassification_UpsamplingGBMLogloss";"logLoss_LogReg";"logLoss_ElasticNetRoc";"logLoss_ElasticNetLogloss";"logLoss_GBMRoc";"logLoss_GBMLogloss";"logLoss_UpsamplingLogReg";"logLoss_UpsamplingElasticNetRoc";"logLoss_UpsamplingElasticNetLogloss";"logLoss_UpsamplingGBMRoc";"logLoss_UpsamplingGBMLogloss"
1000;"Y~X1*X2*X3-(X1:X2:X3)";-4,98767884091737;15;0,405465108108164;0,916290731874155;1,38629436111989;0,405465108108164;0,916290731874155;1,38629436111989;0;0;0;0;0;0;0;0;0;0;0,964036406436771;0,961736367300659;0,959232513871783;0,927945403073842;0,928887705152361;0,963034399568898;0,956228399538456;0,942582075473973;0,930463007707524;0,937115290505128;0,045378;0,083438;0,052064;0,058973;0,057964;0,089432;0,080002;0,082216;0,118475;0,078671;0,12251154900165;0,201268838238252;0,139119150696156;0,1651871516741;0,162212248331486;0,226992819289432;0,343382594027403;0,219275720770951;0,299412641914743;0,198689818094823
5000;"Y~X1*X2*X3-(X1:X2:X3)";-4,98767884091737;15;0,405465108108164;0,916290731874155;1,38629436111989;0,405465108108164;0,916290731874155;1,38629436111989;0;0;0;0;0;0;0;0;0;0;0,9658291698886;0,964217253087785;0,964218586453742;0,94518007838652;0,944510092553144;0,965647130421791;0,962041555975083;0,959182368162775;0,950619895590271;0,952314246590233;0,044238;0,0833146;0,046475;0,0495854;0,0496826;0,088532;0,0814734;0,0858916;0,1019794;0,0805162;0,118823757278513;0,19969862257798;0,125526045305017;0,139977736204843;0,139892707155731;0,223401414474302;0,338347829844162;0,22464384447325;0,258286052226528;0,198172779525933
100;"Y~X1*X2*X3-(X1:X2:X3)";-7,10294720032325;15;0,405465108108164;0,916290731874155;1,38629436111989;0,405465108108164;0,916290731874155;1,38629436111989;0,009;0,117;0,039;0,039;0,009;0,009;0,039;0,039;0,039;0,009;0,897404985069958;0,900095548420747;0,888594572171634;0,90739297975449;0,912755845500466;0,893988600445797;0,881313578000438;0,856272641639877;0,88520949185325;0,88532291564943;0,0455095862764884;0,0482219705549264;0,0468678459937565;0,0468054110301769;0,0460343087790111;0,0591321897073663;0,0572632674297607;0,05210197710718;0,0661810613943809;0,0640060544904137;0,875508112005471;0,156970009616005;0,155428217715138;0,156729238476044;0,141718649232673;0,996857717809494;0,250433266638026;0,175050166335712;0,220391180148334;0,183839852398494
500;"Y~X1*X2*X3-(X1:X2:X3)";-7,10294720032325;15;0,405465108108164;0,916290731874155;1,38629436111989;0,405465108108164;0,916290731874155;1,38629436111989;0;0;0;0;0;0;0;0;0;0;0,975597800944771;0,975976784191524;0,973991892694722;0,939628665732743;0,93932470623915;0,974629752821843;0,968994104765355;0,953180815856691;0,94690005348496;0,949338470333298;0,024302;0,04348;0,03174;0,036178;0,03719;0,058902;0,053918;0,045882;0,083364;0,048178;0,0774077482240052;0,115490605592796;0,0840269000534579;0,107720103003623;0,108779611287864;0,171416451295977;0,236083340925211;0,128691907088118;0,224716494029432;0,125269450241748
1000;"Y~X1*X2*X3-(X1:X2:X3)";-7,10294720032325;15;0,405465108108164;0,916290731874155;1,38629436111989;0,405465108108164;0,916290731874155;1,38629436111989;0;0;0;0;0;0;0;0;0;0;0,98093300360468;0,98042247330006;0,979179381536158;0,950126331835337;0,950864996676625;0,979625462094783;0,976315215211854;0,962595289300487;0,954769118508259;0,959146848758124;0,022876;0,043746;0,027742;0,033029;0,032805;0,062149;0,057539;0,048114;0,087231;0,045217;0,0634722793291734;0,113425083690584;0,0739728208165281;0,096210668870834;0,0943886642509451;0,161503355005801;0,245787004853425;0,129100567098682;0,226402261144557;0,115309847183407
5000;"Y~X1*X2*X3-(X1:X2:X3)";-7,10294720032325;15;0,405465108108164;0,916290731874155;1,38629436111989;0,405465108108164;0,916290731874155;1,38629436111989;0;0;0;0;0;0;0;0;0;0;0,983768741269311;0,982312677798333;0,982658687711472;0,966187637500443;0,966342826102747;0,98351006536791;0,981175253171929;0,976299313584933;0,970269736832941;0,971985294964501;0,0218618;0,0440754;0,0236074;0,0263458;0,0261106;0,0632278;0,062797;0,0567564;0,078802;0,0455006;0,0584968751084484;0,112826175127839;0,0635575486364641;0,0766018545190099;0,0757080487687046;0,158632791146117;0,260190134584648;0,145898978074556;0,196381405427414;0,112618670070127
100;"Y~X1*X2*X3-(X1:X2:X3)";-12,1170983000624;15;0,405465108108164;0,916290731874155;1,38629436111989;0,405465108108164;0,916290731874155;1,38629436111989;0,611;0,953;0,849;0,849;0,611;0,611;0,849;0,849;0,849;0,611;0,927374703397894;0,947902820103461;0,927458904800834;0,947029206472038;0,928618473498488;0,92491351444733;0,905216429404403;0,881897992280634;0,904246568709603;0,856313342845816;0,0210282776349614;0,0153191489361702;0,0162913907284768;0,0160927152317881;0,0155784061696658;0,0224164524421594;0,0199337748344371;0,0181456953642384;0,0272185430463576;0,0232133676092545;0,395265658152251;0,064249365409984;0,0628159712280379;0,056581177278106;0,0612394117170315;0,442191773135901;0,123760040262681;0,0838731623134535;0,111420440731803;0,102681508215189
500;"Y~X1*X2*X3-(X1:X2:X3)";-12,1170983000624;15;0,405465108108164;0,916290731874155;1,38629436111989;0,405465108108164;0,916290731874155;1,38629436111989;0,014;0,128;0,048;0,046;0,014;0,014;0,048;0,048;0,046;0,014;0,92293526965161;0,975297327426335;0,969495804751249;0,951037198136448;0,949138358078833;0,925110206295086;0,959994478628517;0,938656395427122;0,936004216885446;0,938095523332842;0,00891683569979716;0,00936238532110092;0,00896638655462185;0,00935639412997903;0,00917849898580122;0,0158316430020284;0,017155462184874;0,0128025210084034;0,0222872117400419;0,0159310344827586;0,167745125049421;0,0340229532791575;0,0336902556278381;0,0470567779175972;0,0357384086904197;0,281782574287803;0,0814059941180258;0,0441831197503586;0,0792641759375277;0,0515958731735355
1000;"Y~X1*X2*X3-(X1:X2:X3)";-12,1170983000624;15;0,405465108108164;0,916290731874155;1,38629436111989;0,405465108108164;0,916290731874155;1,38629436111989;0;0,002;0;0;0;0;0;0;0;0;0,964495165263128;0,990250332390633;0,989390583170836;0,959266044919087;0,963184024060478;0,969917589127513;0,988046226235712;0,972913448273203;0,970716150604243;0,970438896897403;0,006185;0,00891783567134269;0,007781;0,008856;0,008757;0,016264;0,021007;0,012805;0,028467;0,013185;0,0654229656268046;0,0284758872820897;0,0230533196786293;0,0462430685296307;0,0315173420895679;0,146023608536359;0,0924021381725249;0,0381959544086557;0,0878140052931061;0,0383671056519312
5000;"Y~X1*X2*X3-(X1:X2:X3)";-12,1170983000624;15;0,405465108108164;0,916290731874155;1,38629436111989;0,405465108108164;0,916290731874155;1,38629436111989;0;0;0;0,001;0;0;0;0;0;0;0,995356010835614;0,995916746192357;0,996082619555763;0,978508577186646;0,980115963281772;0,994772920859821;0,995838384576886;0,99051985384259;0,9855886447095;0,98647919446766;0,0045228;0,0086142;0,0054152;0,00725825825825826;0,0069698;0,0230618;0,0302138;0,0135642;0,036913;0,0109586;0,0125920201902505;0,0250439755698307;0,0145536756911406;0,024621868737676;0,0240676270514319;0,0677340543802273;0,115162709225922;0,0364341847733986;0,103693546445961;0,0287547229827427
